Entreprise,Nom d'annone,Localisation,Type Contrat,Salaire,Remote,Lien d'annonce,Entreprise nom,Secteur,Effectif,Crée en ,Age Moyen,Pourcentage Femmes,Pourcentage Hommes
HERMÈS,CDI - Responsable Data Products & Adoption (H/F),Pantin,CDI,,,https://www.welcometothejungle.com/fr/companies/hermes/jobs/cdi-responsable-data-products-adoption-h-f_pantin_HERMS_Lpy1WdG?q=9849e8fd94a59ab540362292a2f2e197&o=45888f8a-c6c1-434b-8877-289aef385907,SOCIÉTÉ GÉNÉRALE,"Banque, FinTech / InsurTech, Finance",119000 collaborateurs,Créée en 1864,Âge moyen : 40 ans,55%,45%
HERMÈS,CDI - Responsable domaine Data Retail (H/F),Pantin,CDI,,,https://www.welcometothejungle.com/fr/companies/hermes/jobs/cdi-responsable-domaine-data-retail-h-f_pantin?q=9849e8fd94a59ab540362292a2f2e197&o=5eb71839-bbe5-444d-9fb9-6c69ebc1e596,SOCIÉTÉ GÉNÉRALE,"Banque, FinTech / InsurTech, Finance",119000 collaborateurs,Créée en 1864,Âge moyen : 40 ans,55%,45%
APSIDE,Data Engineer GCP H/F,Boulogne-Billancourt,CDI,40 à 48 €,Télétravail fréquent,https://www.welcometothejungle.com/fr/companies/apside/jobs/data-engineer-gcp-h-f-2_boulogne-billancourt?q=9849e8fd94a59ab540362292a2f2e197&o=60db6223-02b3-47ce-bcb2-281ff41519dd,APSIDE,"SaaS / Cloud Services, Big Data, Cybersécurité",3000 collaborateurs,Créée en 1976,,,
SOCIÉTÉ GÉNÉRALE,Responsable Data Management Framework - Architecture & Applications,La Défense,CDI,,Télétravail fréquent,https://www.welcometothejungle.com/fr/companies/societe-generale/jobs/responsable-data-management-framework-architecture-applications_la-defense?q=9849e8fd94a59ab540362292a2f2e197&o=8883e920-23de-40ca-b99e-a9f268887f25,EIFFAGE ÉNERGIE SYSTÈMES,Energie,38250 collaborateurs,Créée en 1844,,13%,87%
HERMÈS,STAGE - Assistant Chef de Projets / Data Analyst (H/F),Paris,Stage,,,https://www.welcometothejungle.com/fr/companies/hermes/jobs/stage-assistant-chef-de-projets-data-analyst-h-f_paris_HERMS_273jNOO?q=9849e8fd94a59ab540362292a2f2e197&o=2679edbc-6185-486d-91e5-a9e989536189,STOCKLY,"Logiciels, E-commerce",87 collaborateurs,Créée en 2018,Âge moyen : 29 ans,32%,68%
APSIDE,Ingénieur supervision Datadog H/F,Paris,CDI,,Télétravail fréquent,https://www.welcometothejungle.com/fr/companies/apside/jobs/ingenieur-supervision-datadog-h-f_paris?q=9849e8fd94a59ab540362292a2f2e197&o=e879f381-5aea-474a-9d99-6a51c7712545,RCA,"Logiciels, SaaS / Cloud Services",260 collaborateurs,Créée en 1999,Âge moyen : 34 ans,40%,60%
SEPTEO,Data Engineer,Montpellier,CDI,,,https://www.welcometothejungle.com/fr/companies/septeo/jobs/data-engineer_paris?q=9849e8fd94a59ab540362292a2f2e197&o=3d193343-22cc-468c-a3d9-95ab38374c9b,PERNOD RICARD,"Grande consommation, Boissons",19500 collaborateurs,Créée en 1975,,40%,60%
TALAN,Data Engineer – Confirmé/Senior (H/F),Toulouse,CDI,,Télétravail fréquent,https://www.welcometothejungle.com/fr/companies/talan/jobs/data-engineer-confirme-senior-h-f_toulouse?q=9849e8fd94a59ab540362292a2f2e197&o=18216b08-7fe1-4ed9-a861-d6c1134d3a0a,STOCKLY,"Logiciels, E-commerce",87 collaborateurs,Créée en 2018,Âge moyen : 29 ans,32%,68%
RCA,DATA ENGINEER/OPS F/H,Saint-Herblain,CDI,,Télétravail fréquent,https://www.welcometothejungle.com/fr/companies/rca/jobs/lead-data-engineer-ops-f-h_saint-herblain_RCA_yzGG33O?q=9849e8fd94a59ab540362292a2f2e197&o=8626a4c5-65d9-4892-9768-6b8d7ae21617,COSTAR GROUP,"Intelligence artificielle / Machine Learning, Digital Marketing / Data Marketing, Immobilier commercial",91 collaborateurs,Créée en 1987,,44%,56%
GROUPE BPCE,Data Master (F/H) - Rennes (35) ou Nantes (44),Rennes,CDI,,Télétravail fréquent,https://www.welcometothejungle.com/fr/companies/groupe-bpce/jobs/data-master-f-h-rennes-35-ou-nantes-44_rennes?q=9849e8fd94a59ab540362292a2f2e197&o=e6bd6981-61ae-4ebd-988b-5112e06b0c9a,HERMÈS,"Luxe, Distribution sélective, Digital",25185 collaborateurs,Créée en 1837,,67%,33%
EIFFAGE ÉNERGIE SYSTÈMES,Pilote exploitation maintenance data center Marcoussis 91 F/H,Marcoussis,CDI,,,https://www.welcometothejungle.com/fr/companies/eiffageenergiesystemes/jobs/pilote-exploitation-maintenance-data-center-marcoussis-91-f-h_marcoussis?q=9849e8fd94a59ab540362292a2f2e197&o=b2564ee3-4716-45a5-aebf-973eb6df0a38,TALAN,"IT / Digital, Transformation, Big Data",7100 collaborateurs,Créée en 2002,Âge moyen : 36 ans,35%,65%
SNCF CONNECT & TECH,ASSISTANT DIGITAL DATA ANALYST (F/H) - ALTERNANCE,Saint-Denis,Alternance,,Télétravail fréquent,https://www.welcometothejungle.com/fr/companies/sncf-connect-tech/jobs/assistant-digital-data-analyst-f-h-alternance_saint-denis?q=9849e8fd94a59ab540362292a2f2e197&o=d43b88bf-bb29-42e5-8b20-2f9524d15eec,HERMÈS,"Luxe, Distribution sélective, Digital",25185 collaborateurs,Créée en 1837,,67%,33%
SOPRA STERIA,Consultant(e) / Consultant(e) Senior - Data - IDF,Courbevoie,CDI,,Télétravail fréquent,https://www.welcometothejungle.com/fr/companies/sopra-steria/jobs/consultant-consultant-senior-data-idf_courbevoie?q=9849e8fd94a59ab540362292a2f2e197&o=56811748-c824-42e9-9202-08e70f2fdd1d,HERMÈS,"Luxe, Distribution sélective, Digital",25185 collaborateurs,Créée en 1837,,67%,33%
THALES,Senior Consultant Data H/F,Vélizy-Villacoublay,CDI,,,https://www.welcometothejungle.com/fr/companies/thales/jobs/senior-consultant-data-h-f_velizy-villacoublay_THALE_LayGqJR?q=9849e8fd94a59ab540362292a2f2e197&o=134f826a-90aa-4d83-92fc-f5823ae68005,SOPRA STERIA,"IT / Digital, Organisation / Management",50000 collaborateurs,Créée en 1968,Âge moyen : 37 ans,30%,70%
SUEZ,ALTERNANT - Commercial Performance Data Analyst H/F,Puteaux,Alternance,,,https://www.welcometothejungle.com/fr/companies/suez/jobs/alternant-commercial-performance-data-analyst-h-f_puteaux?q=9849e8fd94a59ab540362292a2f2e197&o=eaa011a9-016d-4884-8122-81bba0262768,NORAUTO INTERNATIONAL,"Grande distribution, Automobile, E-commerce",,Créée en 1970,,,
SUEZ,Alternance - Data scientist (F/H),Puteaux,Alternance,,,https://www.welcometothejungle.com/fr/companies/suez/jobs/alternance-data-scientist-f-h_puteaux?q=9849e8fd94a59ab540362292a2f2e197&o=7c69f651-d3e2-4306-88c5-dc734c995868,APSIDE,"SaaS / Cloud Services, Big Data, Cybersécurité",3000 collaborateurs,Créée en 1976,,,
SUEZ,ALTERNANT DATA ANALYST FINANCE H/F,Tours,Alternance,,,https://www.welcometothejungle.com/fr/companies/suez/jobs/alternant-data-analyst-finance-h-f_tours?q=9849e8fd94a59ab540362292a2f2e197&o=aeeef488-28b9-42f2-8781-0d6ef6bac67b,SUEZ,"Environnement / Développement durable, SocialTech / GreenTech",40000 collaborateurs,Créée en 1880,Âge moyen : 45 ans,,
SUEZ,Alternance - Data Quality Analyst (F/H),Puteaux,Alternance,,,https://www.welcometothejungle.com/fr/companies/suez/jobs/alternance-data-quality-analyst-f-h_puteaux?q=9849e8fd94a59ab540362292a2f2e197&o=5cbf7120-c98c-4116-9954-b3443a3f2764,SUEZ,"Environnement / Développement durable, SocialTech / GreenTech",40000 collaborateurs,Créée en 1880,Âge moyen : 45 ans,,
SOPRA STERIA,Consultant.e Data Expérimenté.e - Industrie et Services - Lille,Villeneuve-d'Ascq,CDI,,,https://www.welcometothejungle.com/fr/companies/sopra-steria/jobs/consultant-e-data-experimente-e-industrie-et-services-lille_villeneuve-d-ascq_SS_b6zGezo?q=cdfe7639690d3e349b2eedf7acdc50d7&o=e1e48604-52e4-4179-a90a-101ad91b5e16&p=true,STOCKLY,"Logiciels, E-commerce",87 collaborateurs,Créée en 2018,Âge moyen : 29 ans,32%,68%
PICTARINE,Data Analyst Senior,Toulouse,CDI,,,https://www.welcometothejungle.com/fr/companies/pictarine/jobs/data-analyst-senior_toulouse?q=cdfe7639690d3e349b2eedf7acdc50d7&o=9848be93-3ec8-45e2-9a6b-1c0f147752a8&p=true,HERMÈS,"Luxe, Distribution sélective, Digital",25185 collaborateurs,Créée en 1837,,67%,33%
COSTAR GROUP,Consultant Data Immobilier - Paris,Paris,CDI,,,https://www.welcometothejungle.com/fr/companies/bureauxlocaux/jobs/consultant-data-immobilier-paris_paris_CG_x0QR5yM?q=cdfe7639690d3e349b2eedf7acdc50d7&o=662af5cc-c030-4626-943e-b6f0c11f94db&p=true,GROUPE SII,"Logiciels, Intelligence artificielle / Machine Learning, IT / Digital",16000 collaborateurs,Créée en 1979,Âge moyen : 34 ans,,
